repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
radare2,17456,2810,C,https://github.com/radareorg/radare2,radareorg,820,2023-01-28T17:57:02Z,UNIX-like reverse engineering framework and command-line toolset
mimikatz,16667,3229,C,https://github.com/gentilkiwi/mimikatz,gentilkiwi,126,2022-11-29T16:00:30Z,A little tool to play with Windows security
hashcat,16489,2465,C,https://github.com/hashcat/hashcat,hashcat,193,2023-01-27T15:20:51Z,World's fastest and most advanced password recovery utility
bcc,16444,3270,C,https://github.com/iovisor/bcc,iovisor,701,2023-01-28T18:33:41Z,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more"
nnn,15717,647,C,https://github.com/jarun/nnn,jarun,1,2023-01-28T04:32:55Z,n³ The unorthodox terminal file manager
goaccess,15708,1022,C,https://github.com/allinurl/goaccess,allinurl,345,2023-01-02T19:03:47Z,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.
C,15405,3890,C,https://github.com/TheAlgorithms/C,TheAlgorithms,5,2023-01-27T06:25:06Z,"Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes."
timescaledb,14410,758,C,https://github.com/timescale/timescaledb,timescale,424,2023-01-28T10:44:03Z,An open-source time-series SQL database optimized for fast ingest and complex queries.  Packaged as a PostgreSQL extension.
yabai,14350,494,C,https://github.com/koekeishiya/yabai,koekeishiya,206,2023-01-15T15:44:40Z,A tiling window manager for macOS based on binary space partitioning
qmk_firmware,14262,30430,C,https://github.com/qmk/qmk_firmware,qmk,252,2023-01-28T16:43:18Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
openwrt,13774,8240,C,https://github.com/openwrt/openwrt,openwrt,1756,2023-01-28T18:39:37Z,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
ish,13361,718,C,https://github.com/ish-app/ish,ish-app,448,2023-01-26T06:16:15Z,Linux shell for iOS
open-gpu-kernel-modules,12850,917,C,https://github.com/NVIDIA/open-gpu-kernel-modules,NVIDIA,90,2023-01-24T18:05:59Z,NVIDIA Linux open GPU kernel module source
blurhash,12717,293,C,https://github.com/woltapp/blurhash,woltapp,19,2023-01-23T20:03:35Z,A very compact representation of a placeholder for an image.
memcached,12390,3146,C,https://github.com/memcached/memcached,memcached,53,2023-01-28T03:09:30Z,memcached development tree
nginx-rtmp-module,12369,3433,C,https://github.com/arut/nginx-rtmp-module,arut,1012,2022-06-21T08:56:37Z,NGINX-based Media Streaming Server
kcp,12067,2289,C,https://github.com/skywind3000/kcp,skywind3000,153,2022-12-04T05:02:42Z,:zap: KCP - A Fast and Reliable ARQ Protocol
raspberry-pi-os,11980,1224,C,https://github.com/s-matyukevich/raspberry-pi-os,s-matyukevich,49,2022-02-16T17:29:18Z,Learning operating system development using Linux kernel and Raspberry Pi
reactos,11938,1490,C,https://github.com/reactos/reactos,reactos,0,2023-01-28T16:07:55Z,A free Windows-compatible Operating System
HandBrake,11935,1071,C,https://github.com/HandBrake/HandBrake,HandBrake,245,2023-01-27T22:31:45Z,HandBrake's main development repository
sway,11822,978,C,https://github.com/swaywm/sway,swaywm,681,2023-01-26T21:55:41Z,i3-compatible Wayland compositor
tengine,11819,2454,C,https://github.com/alibaba/tengine,alibaba,376,2023-01-25T22:45:23Z,A distribution of Nginx with some advanced features
brotli,11813,1164,C,https://github.com/google/brotli,google,55,2023-01-22T14:30:54Z,Brotli compression format
skynet,11722,3931,C,https://github.com/cloudwu/skynet,cloudwu,9,2023-01-06T10:31:29Z,A lightweight online game framework
postgres,11709,3654,C,https://github.com/postgres/postgres,postgres,0,2023-01-28T02:09:37Z,"Mirror of the official PostgreSQL GIT repository. Note that this is just a *mirror* - we don't work with pull requests on github. To contribute, please see https://wiki.postgresql.org/wiki/Submitting_a_Patch"
twemproxy,11684,2030,C,https://github.com/twitter/twemproxy,twitter,143,2023-01-14T09:22:36Z,"A fast, light-weight proxy for memcached and redis"
raylib,11536,1401,C,https://github.com/raysan5/raylib,raysan5,14,2023-01-28T18:26:41Z,A simple and easy-to-use library to enjoy videogames programming
tig,11461,596,C,https://github.com/jonas/tig,jonas,165,2023-01-22T21:46:03Z,Text-mode interface for git
WindTerm,11451,815,C,https://github.com/kingToolbox/WindTerm,kingToolbox,915,2022-08-22T09:04:45Z,A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.
esp8266_deauther,11223,2337,C,https://github.com/SpacehuhnTech/esp8266_deauther,SpacehuhnTech,106,2023-01-20T05:15:06Z,Affordable WiFi hacking platform for testing and learning
ExplorerPatcher,11178,588,C,https://github.com/valinet/ExplorerPatcher,valinet,0,2022-11-17T14:13:12Z,This project aims to enhance the working environment on Windows
